"","District","Region","Subzone","Property Type","address","Ascendas_Building","lease","sqft","sqm","psf","lon","lat"
"668","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 raffles place , singapore","Non-Ascendas Building",NA,1041,97,7.5,103.8511712,1.2834811
"669","D01","CENTRAL REGION","RAFFLES PLACE","Office","16 raffles quay , singapore","Non-Ascendas Building",NA,1561,145,8.6,103.8510185,1.2814095
"670","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 phillip street , singapore","Non-Ascendas Building",NA,2971,276,9,103.8500505,1.2849791
"671","D01","CENTRAL REGION","RAFFLES PLACE","Office","63 market street , singapore","Non-Ascendas Building","Freehold",2077,193,10,103.8504456,1.2842692
"672","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","8 marina view , singapore","Non-Ascendas Building","99-year Leasehold",5300,492,13.02,103.8516709,1.2784816
"673","D01","CENTRAL REGION","RAFFLES PLACE","Office","55 market street singapore , singapore","Non-Ascendas Building",NA,2734,254,8.5,103.8505607,1.2844873
"674","D01","CENTRAL REGION","RAFFLES PLACE","Office","9 raffles place , singapore","Non-Ascendas Building","Unknown Tenure",4780,444,7.26,103.8508826,1.2832744
"675","D01","CENTRAL REGION","PHILLIP","Office","1 george street , singapore","Non-Ascendas Building",NA,5043,469,12,103.8478512,1.2859607
"676","D01","CENTRAL REGION","RAFFLES PLACE","Office","80 raffles place , singapore","Non-Ascendas Building","Unknown Tenure",1970,183,12,103.8507043,1.2854707
"677","D01","CENTRAL REGION","RAFFLES PLACE","Office","80 raffles place uob plaza , singapore","Non-Ascendas Building",NA,1862,173,12,103.8505945,1.2854209
"678","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 raffles place , singapore","Non-Ascendas Building",NA,2530,235,10,103.8510616,1.284358
"679","D01","CENTRAL REGION","CECIL","Office","168 robinson road , singapore","Non-Ascendas Building",NA,3864,359,11,103.8476215,1.2777366
"680","D01","CENTRAL REGION","CECIL","Office","105 cecil street , singapore","Non-Ascendas Building","Freehold",4718,438,5.5,103.8492068,1.2806884
"681","D09","CENTRAL REGION","BOULEVARD","Office","390 orchard road , singapore","Non-Ascendas Building","Unknown Tenure",2142,199,8.5,103.8295057,1.3066492
"682","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","12 marina view , singapore","Non-Ascendas Building","99-year Leasehold",4224,392,13,103.8507292,1.2782446
"683","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","8 marina view , singapore","Non-Ascendas Building","99-year Leasehold",1901,177,13,103.8516709,1.2784816
"684","D02","CENTRAL REGION","TANJONG PAGAR","Office","79 anson road , singapore","Non-Ascendas Building","Freehold",2457,228,7.5,103.8456739,1.2742752
"685","D01","CENTRAL REGION","CECIL","Office","138 cecil street , singapore","Non-Ascendas Building",NA,810,75,5.8,103.8485681,1.2808417
"686","D01","CENTRAL REGION","RAFFLES PLACE","Office","138 market street , singapore","Non-Ascendas Building","99-year Leasehold",6508,605,13,103.8501248,1.2818026
"687","D01","CENTRAL REGION","CECIL","Office","150 cecil street , singapore","Non-Ascendas Building","99-year Leasehold",1404,130,6,103.8482963,1.2801853
"688","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","1 raffles quay , singapore","Non-Ascendas Building",NA,2519,234,11,103.8516568,1.2810947
"689","D01","CENTRAL REGION","CECIL","Office","158 cecil street , singapore","Non-Ascendas Building","99-year Leasehold",7804,725,8.2,103.8481151,1.2798208
"690","D01","CENTRAL REGION","CECIL","Office","133 cecil street , singapore","Non-Ascendas Building",NA,1431,133,6,103.8490244,1.2803224
"691","D01","CENTRAL REGION","RAFFLES PLACE","Office","20 collyer quay , singapore","Non-Ascendas Building","99-year Leasehold",1001,93,27.42,103.8526975,1.2845452
"692","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 finlayson green , singapore","Non-Ascendas Building",NA,3251,302,7.8,103.8512903,1.2822121
"693","D01","CENTRAL REGION","RAFFLES PLACE","Office","24 raffles place , singapore","Non-Ascendas Building",NA,1434,133,8.5,103.8519697,1.2838533
"694","D01","CENTRAL REGION","CECIL","Office","146 robinson road , singapore","Non-Ascendas Building","99-year Leasehold",2478,230,5.5,103.8480935,1.2781758
"695","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 raffles place , singapore","Non-Ascendas Building",NA,10689,993,11.5,103.8510616,1.284358
"696","D01","CENTRAL REGION","RAFFLES PLACE","Office","24 raffles place , singapore","Non-Ascendas Building",NA,904,84,8.5,103.8519697,1.2838533
"697","D02","CENTRAL REGION","ANSON","Office","80 anson road , singapore","Non-Ascendas Building",NA,1830,170,7.2,103.8435922,1.2732639
"698","D01","CENTRAL REGION","CHINA SQUARE","Office","18 cross street , singapore","Non-Ascendas Building",NA,1970,183,8.5,103.8470853,1.2835867
"699","D01","CENTRAL REGION","RAFFLES PLACE","Office","50 raffles place , singapore","Non-Ascendas Building",NA,1822,169,10.5,103.8519923,1.2847487
"700","D01","CENTRAL REGION","CECIL","Office","3 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1001,93,5,103.8499767,1.2784546
"701","D01","CENTRAL REGION","PHILLIP","Office","65 chulia street , singapore","Non-Ascendas Building",NA,1643,153,10,103.8488954,1.285184
"702","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 phillip street , singapore","Non-Ascendas Building","999-year Leasehold",1249,116,9,103.8500062,1.2845765
"703","D02","CENTRAL REGION","ANSON","Office","10 hoe chiang road , singapore","Non-Ascendas Building",NA,3564,331,7,103.8425526,1.2744011
"704","D01","CENTRAL REGION","CHINA SQUARE","Office","19 china street , singapore","Non-Ascendas Building",NA,1819,169,6.5,103.8478436,1.2834433
"705","D02","CENTRAL REGION","ANSON","Office","19 keppel road , singapore","Non-Ascendas Building",NA,650,60,6,103.8423879,1.2729624
"706","D01","CENTRAL REGION","CECIL","Office","133 cecil street , singapore","Non-Ascendas Building",NA,1347,125,6.5,103.8490244,1.2803224
"707","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 raffles place , singapore","Non-Ascendas Building",NA,2336,217,10,103.8510616,1.284358
"708","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,200,19,15,103.8514035,1.2817911
"709","D02","CENTRAL REGION","CHINATOWN","Office","100 peck seah street , singapore","Non-Ascendas Building","Unknown Tenure",527,49,12.9,103.8443611,1.2758528
"710","D01","CENTRAL REGION","CECIL","Office","120 robinson road , singapore","Non-Ascendas Building","99-year Leasehold",5360,498,6,103.8486657,1.2790213
"711","D01","CENTRAL REGION","MARINA CENTRE","Office","3 temasek avenue , singapore","Non-Ascendas Building",NA,5165,480,12.8,103.8603543,1.2933784
"712","D07","CENTRAL REGION","BUGIS","Office","43 beach road , singapore","Non-Ascendas Building",NA,1400,130,5.5,103.8558162,1.2962788
"713","D01","CENTRAL REGION","RAFFLES PLACE","Office","50 raffles place , singapore","Non-Ascendas Building",NA,4391,408,10.5,103.8519923,1.2847487
"714","D07","CENTRAL REGION","CRAWFORD","Office","300 beach road , singapore","Non-Ascendas Building","Unknown Tenure",3993,371,7.5,103.8626595,1.3010505
"715","D07","CENTRAL REGION","CRAWFORD","Office","300 beach road , singapore","Non-Ascendas Building","Unknown Tenure",2917,271,7.5,103.8626595,1.3010505
"716","D09","CENTRAL REGION","BOULEVARD","Office","435 orchard road , singapore","Non-Ascendas Building","Unknown Tenure",958,89,10.5,103.8332642,1.3037148
"717","D01","CENTRAL REGION","PHILLIP","Office","65 chulia street , singapore","Non-Ascendas Building",NA,1619,150,10,103.8488954,1.285184
"718","D09","CENTRAL REGION","DHOBY GHAUT","Office","121 penang road , singapore","Non-Ascendas Building","Unknown Tenure",1539,143,7.6,103.8420178,1.2994556
"719","D01","CENTRAL REGION","RAFFLES PLACE","Office","20 malacca street , singapore","Non-Ascendas Building",NA,1850,172,6.8,103.8506626,1.2840517
"720","D09","CENTRAL REGION","BOULEVARD","Office","1 scotts road , singapore","Non-Ascendas Building","Unknown Tenure",1280,119,8,103.8318606,1.3061971
"721","D07","CENTRAL REGION","BUGIS","Office","200 victoria street , singapore","Non-Ascendas Building",NA,3305,307,7.8,103.8556868,1.299529
"722","D09","CENTRAL REGION","SOMERSET","Office","163 penang road , singapore","Non-Ascendas Building","Unknown Tenure",3961,368,10.5,103.8408862,1.2995295
"723","D07","CENTRAL REGION","BUGIS","Office","230 victoria street , singapore","Non-Ascendas Building",NA,3994,371,7.8,103.8557181,1.2996044
"724","D09","CENTRAL REGION","SOMERSET","Office","111 somerset road , singapore","Non-Ascendas Building","99-year Leasehold",947,88,8.5,103.8372952,1.3001685
"725","D01","CENTRAL REGION","RAFFLES PLACE","Office","50 raffles place , singapore","Non-Ascendas Building",NA,3994,371,9.5,103.8519923,1.2847487
"726","D01","CENTRAL REGION","RAFFLES PLACE","Office","2 battery road , singapore","Non-Ascendas Building",NA,1095,102,7,103.8525387,1.2859217
"727","D01","CENTRAL REGION","RAFFLES PLACE","Office","16 raffles quay , singapore","Non-Ascendas Building",NA,2024,188,8.3,103.8510185,1.2814095
"728","D10","CENTRAL REGION","CHATSWORTH","Office","491 river valley road , singapore","Non-Ascendas Building","Unknown Tenure",2616,243,7,103.8271938,1.2931776
"729","D05","CENTRAL REGION","ONE NORTH","Office","9 north buona vista drive , singapore","Non-Ascendas Building","Unknown Tenure",9171,852,9.5,103.7918068,1.3057338
"730","D07","CENTRAL REGION","CITY HALL","Office","152 beach road , singapore","Non-Ascendas Building","Freehold",2178,202,7.5,103.8594007,1.2988735
"731","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 phillip street , singapore","Non-Ascendas Building","999-year Leasehold",1249,116,9,103.8500062,1.2845765
"732","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 phillip street , singapore","Non-Ascendas Building",NA,2971,276,9,103.8500505,1.2849791
"733","D09","CENTRAL REGION","ROBERTSON QUAY","Office","1 kim seng promenade , singapore","Non-Ascendas Building","Freehold",1658,154,6.8,103.831959,1.293187
"734","D01","CENTRAL REGION","MARINA CENTRE","Office","1 temasek avenue , singapore","Non-Ascendas Building",NA,2992,278,12.8,103.8606995,1.2931797
"735","D11","CENTRAL REGION","MOULMEIN","Office","238a thomson road , singapore","Non-Ascendas Building",NA,3961,368,8,103.8438436,1.3200477
"736","D07","CENTRAL REGION","CITY HALL","Office","152 beach road , singapore","Non-Ascendas Building","Freehold",2475,230,7.5,103.8594007,1.2988735
"737","D07","CENTRAL REGION","VICTORIA","Office","60 albert street , singapore","Non-Ascendas Building","Unknown Tenure",673,63,5.5,103.8539626,1.3024158
"738","D01","CENTRAL REGION","CECIL","Office","2 shenton way , singapore","Non-Ascendas Building","Freehold",2713,252,8.5,103.8500817,1.279759
"739","D01","CENTRAL REGION","RAFFLES PLACE","Office","10 collyer quay , singapore","Non-Ascendas Building","Freehold",2293,213,14,103.8520125,1.2831801
"740","D07","CENTRAL REGION","CITY HALL","Office","331 north bridge rd , singapore","Non-Ascendas Building",NA,1034,96,8,103.8532832,1.2962396
"741","D09","CENTRAL REGION","BOULEVARD","Office","400 orchard road , singapore","Non-Ascendas Building","Freehold",840,78,5,103.8291434,1.3069439
"742","D09","CENTRAL REGION","BOULEVARD","Office","391 orchard road , singapore","Non-Ascendas Building","Unknown Tenure",2766,257,10.5,103.8343967,1.3026716
"743","D09","CENTRAL REGION","BOULEVARD","Office","390 orchard road , singapore","Non-Ascendas Building","Unknown Tenure",1023,95,8.8,103.8295057,1.3066492
"744","D07","CENTRAL REGION","BENCOOLEN","Office","175 bencoolen street , singapore","Non-Ascendas Building","99-year Leasehold",581,54,6.88,103.852577,1.30229
"745","D03","CENTRAL REGION","ROBERTSON QUAY","Office","390 havelock road , singapore","Non-Ascendas Building",NA,1421,132,6.2,103.8358913,1.2896087
"746","D01","CENTRAL REGION","CECIL","Office","36 robinson road , singapore","Non-Ascendas Building",NA,2121,197,7.8,103.850022,1.2812688
"747","D07","CENTRAL REGION","BRAS BASAH","Office","51 bras basah road , singapore","Non-Ascendas Building","Unknown Tenure",904,84,8,103.8501579,1.2979025
"748","D22","WEST REGION","JURONG GATEWAY","Office","1 gateway drive , singapore","Non-Ascendas Building","99-year Leasehold",2163,201,6.5,103.7428314,1.3343923
"749","D03","CENTRAL REGION","TIONG BAHRU STATION","Office","298 tiong bahru road , singapore","Non-Ascendas Building",NA,1647,153,7.5,103.827346,1.2864244
"750","D01","CENTRAL REGION","CECIL","Office","156 cecil street , singapore","Non-Ascendas Building",NA,894,83,5.8,103.8481934,1.2799539
"751","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 phillip street , singapore","Non-Ascendas Building","999-year Leasehold",3434,319,9,103.8500062,1.2845765
"752","D07","CENTRAL REGION","CITY HALL","Office","152 beach road , singapore","Non-Ascendas Building","Freehold",2592,241,7.5,103.8594007,1.2988735
"753","D01","CENTRAL REGION","MARINA CENTRE","Office","8 temasek boulevard , singapore","Non-Ascendas Building",NA,1152,107,9.5,103.8594992,1.2953149
"754","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,1593,148,7.5,103.8514035,1.2817911
"755","D09","CENTRAL REGION","BOULEVARD","Office","360 orchard road , singapore","Non-Ascendas Building",NA,926,86,8.5,103.8310002,1.3061653
"756","D01","CENTRAL REGION","CECIL","Office","105 cecil street , singapore","Non-Ascendas Building","Freehold",360,33,10.8,103.8492068,1.2806884
"757","D01","CENTRAL REGION","RAFFLES PLACE","Office","22 malacca street , singapore","Non-Ascendas Building",NA,1010,94,7.43,103.8507512,1.2839977
"758","D06","CENTRAL REGION","CITY HALL","Office","1 north bridge road , singapore","Non-Ascendas Building",NA,549,51,5.1,103.8494332,1.2900089
"759","D09","CENTRAL REGION","BOULEVARD","Office","391 orchard road , singapore","Non-Ascendas Building","Unknown Tenure",1400,130,20.57,103.8343967,1.3026716
"760","D02","CENTRAL REGION","ANSON","Office","15 enggor street , singapore","Non-Ascendas Building","Unknown Tenure",1200,111,3.33,103.8441783,1.2740967
"761","D01","CENTRAL REGION","RAFFLES PLACE","Office","22 malacca street , singapore","Non-Ascendas Building",NA,1000,93,7.5,103.8507512,1.2839977
"762","D22","WEST REGION","KIAN TECK","Office","10 enterprise road , singapore","Non-Ascendas Building",NA,2342,218,1.5,103.703659,1.333313
"763","D01","CENTRAL REGION","CECIL","Office","3 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1356,126,4.5,103.8499767,1.2784546
"764","D01","CENTRAL REGION","CECIL","Office","3 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1032,96,4.5,103.8499767,1.2784546
"765","D01","CENTRAL REGION","CECIL","Office","3 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1023,95,4.5,103.8499767,1.2784546
"766","D01","CENTRAL REGION","CECIL","Office","39 robinson road , singapore","Non-Ascendas Building",NA,4500,418,8,103.8494785,1.2795904
"767","D09","CENTRAL REGION","SOMERSET","Office","111 somerset road , singapore","Non-Ascendas Building","99-year Leasehold",786,73,8.5,103.8372952,1.3001685
"768","D01","CENTRAL REGION","CECIL","Office","101 cecil street , singapore","Non-Ascendas Building","999-year Leasehold",603,56,6,103.8495012,1.2811803
"769","D02","CENTRAL REGION","ANSON","Office","78 shenton way , singapore","Non-Ascendas Building","99-year Leasehold",1496,139,7.8,103.8453116,1.2731808
"770","D01","CENTRAL REGION","CECIL","Office","133 cecil street , singapore","Non-Ascendas Building",NA,1347,125,6.5,103.8490244,1.2803224
"771","D01","CENTRAL REGION","CECIL","Office","80 robinson road , singapore","Non-Ascendas Building","99-year Leasehold",1582,147,7.5,103.8492068,1.2800305
"772","D01","CENTRAL REGION","CHINA SQUARE","Office","18 cross street , singapore","Non-Ascendas Building",NA,1743,162,8,103.8470853,1.2835867
"773","D01","CENTRAL REGION","RAFFLES PLACE","Office","11 collyer quay , singapore","Non-Ascendas Building","99-year Leasehold",1604,149,6.5,103.8522867,1.2835225
"774","D01","CENTRAL REGION","CECIL","Office","138 cecil street , singapore","Non-Ascendas Building",NA,1575,146,5.8,103.8485681,1.2808417
"775","D01","CENTRAL REGION","RAFFLES PLACE","Office","20 cecil street , singapore","Non-Ascendas Building","99-year Leasehold",484,45,5,103.8505203,1.282984
"776","D01","CENTRAL REGION","CECIL","Office","101 cecil street , singapore","Non-Ascendas Building","999-year Leasehold",808,75,5.9,103.8495012,1.2811803
"777","D01","CENTRAL REGION","CECIL","Office","101 cecil street , singapore","Non-Ascendas Building","999-year Leasehold",463,43,6,103.8495012,1.2811803
"778","D01","CENTRAL REGION","CECIL","Office","101 cecil street , singapore","Non-Ascendas Building","999-year Leasehold",1227,114,5.7,103.8495012,1.2811803
"779","D01","CENTRAL REGION","RAFFLES PLACE","Office","22 malacca street , singapore","Non-Ascendas Building",NA,500,46,7.5,103.8507512,1.2839977
"780","D01","CENTRAL REGION","RAFFLES PLACE","Office","24 raffles place , singapore","Non-Ascendas Building",NA,501,47,8.5,103.8519697,1.2838533
"781","D01","CENTRAL REGION","CECIL","Office","39 robinson road , singapore","Non-Ascendas Building",NA,1800,167,8.3,103.8494785,1.2795904
"782","D01","CENTRAL REGION","BOAT QUAY","Office","00 south bridge road , singapore","Non-Ascendas Building","Unknown Tenure",930,86,3.33,103.84665,1.2845757
"783","D01","CENTRAL REGION","CECIL","Office","2 shenton way , singapore","Non-Ascendas Building","Freehold",2811,261,8.5,103.8500817,1.279759
"784","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,70,7,22.86,103.8514035,1.2817911
"785","D09","CENTRAL REGION","SOMERSET","Office","111 somerset road , singapore","Non-Ascendas Building","99-year Leasehold",517,48,8.5,103.8372952,1.3001685
"786","D09","CENTRAL REGION","SOMERSET","Office","111 somerset road , singapore","Non-Ascendas Building","99-year Leasehold",947,88,8.5,103.8372952,1.3001685
"787","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,100,9,17,103.8514035,1.2817911
"788","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,2174,202,7.2,103.8514035,1.2817911
"789","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","1 raffles quay , singapore","Non-Ascendas Building",NA,800,74,31.25,103.8516568,1.2810947
"790","D01","CENTRAL REGION","CECIL","Office","146 robinson road , singapore","Non-Ascendas Building","99-year Leasehold",1238,115,5.5,103.8480935,1.2781758
"791","D01","CENTRAL REGION","MARINA CENTRE","Office","9 temasek boulevard , singapore","Non-Ascendas Building",NA,2797,260,6.9,103.8591712,1.2957308
"792","D14","CENTRAL REGION","ALJUNIED","Office","167 geylang , singapore","Non-Ascendas Building",NA,355,33,3.8,103.8746412,1.3116071
"793","D07","CENTRAL REGION","VICTORIA","Office","116 middle road , singapore","Non-Ascendas Building","99-year Leasehold",500,46,6,103.8535202,1.2992683
"794","D07","CENTRAL REGION","VICTORIA","Office","116 middle road , singapore","Non-Ascendas Building","99-year Leasehold",270,25,5.56,103.8535202,1.2992683
"795","D01","CENTRAL REGION","RAFFLES PLACE","Office","80 raffles place , singapore","Non-Ascendas Building","Unknown Tenure",1970,183,12,103.8507043,1.2854707
"796","D02","CENTRAL REGION","ANSON","Office","100 tras street , singapore","Non-Ascendas Building","Unknown Tenure",750,70,8.5,103.8435511,1.2750321
"797","D01","CENTRAL REGION","RAFFLES PLACE","Office","14 robinson road , singapore","Non-Ascendas Building","999-year Leasehold",1400,130,5.8,103.8507909,1.2820124
"798","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 phillip street , singapore","Non-Ascendas Building","999-year Leasehold",1249,116,8.8,103.8500062,1.2845765
"799","D12","CENTRAL REGION","LAVENDER","Office","161 lavender street , singapore","Non-Ascendas Building",NA,2800,260,4,103.860995,1.3125179
"800","D01","CENTRAL REGION","RAFFLES PLACE","Office","9 raffles place , singapore","Non-Ascendas Building","Unknown Tenure",2002,186,9.99,103.8508826,1.2832744
"801","D12","CENTRAL REGION","LAVENDER","Office","161 lavender street , singapore","Non-Ascendas Building",NA,1200,111,4,103.860995,1.3125179
"802","D01","CENTRAL REGION","CECIL","Office","138 cecil street , singapore","Non-Ascendas Building",NA,3300,307,6,103.8485681,1.2808417
"803","D01","CENTRAL REGION","RAFFLES PLACE","Office","1 phillip street , singapore","Non-Ascendas Building",NA,775,72,8,103.8500505,1.2849791
"804","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","8 marina boulevard , singapore","Non-Ascendas Building","99-year Leasehold",1200,111,33.33,103.8517885,1.2810763
"805","D01","CENTRAL REGION","RAFFLES PLACE","Office","14 robinson road , singapore","Non-Ascendas Building","999-year Leasehold",330,31,7.88,103.8507909,1.2820124
"806","D01","CENTRAL REGION","CECIL","Office","133 cecil street , singapore","Non-Ascendas Building",NA,1431,133,6,103.8490244,1.2803224
"807","D01","CENTRAL REGION","RAFFLES PLACE","Office","11 collyer quay , singapore","Non-Ascendas Building","99-year Leasehold",635,59,6.8,103.8522867,1.2835225
"808","D02","CENTRAL REGION","TANJONG PAGAR","Office","10 anson road , singapore","Non-Ascendas Building","99-year Leasehold",463,43,6.48,103.8458098,1.2756998
"809","D01","CENTRAL REGION","CECIL","Office","138 cecil street , singapore","Non-Ascendas Building",NA,810,75,6,103.8485681,1.2808417
"810","D01","CENTRAL REGION","RAFFLES PLACE","Office","63 market street , singapore","Non-Ascendas Building","Freehold",1399,130,10,103.8504456,1.2842692
"811","D01","CENTRAL REGION","RAFFLES PLACE","Office","3 phillip street , singapore","Non-Ascendas Building","999-year Leasehold",3434,319,8.74,103.8500062,1.2845765
"812","D01","CENTRAL REGION","CLARKE QUAY","Office","6 eu tong sen street , singapore","Non-Ascendas Building","99-year Leasehold",613,57,6,103.8473566,1.2894584
"813","D01","CENTRAL REGION","CECIL","Office","133 cecil street , singapore","Non-Ascendas Building",NA,2356,219,6.37,103.8490244,1.2803224
"814","D01","CENTRAL REGION","RAFFLES PLACE","Office","80 raffles place , singapore","Non-Ascendas Building","Unknown Tenure",1862,173,12,103.8507043,1.2854707
"815","D02","CENTRAL REGION","TANJONG PAGAR","Office","10 anson road , singapore","Non-Ascendas Building","99-year Leasehold",474,44,5.91,103.8458098,1.2756998
"816","D01","CENTRAL REGION","CLARKE QUAY","Office","30 merchant road , singapore","Non-Ascendas Building",NA,355,33,6.8,103.8442712,1.2892296
"817","D01","CENTRAL REGION","CECIL","Office","156 cecil street , singapore","Non-Ascendas Building",NA,882,82,6.5,103.8481934,1.2799539
"818","D01","CENTRAL REGION","PHILLIP","Office","65 chulia street , singapore","Non-Ascendas Building",NA,911,85,10.5,103.8488954,1.285184
"819","D07","CENTRAL REGION","BUGIS","Office","420 north bridge road , singapore","Non-Ascendas Building","Unknown Tenure",495,46,4.9,103.8549477,1.297193
"820","D01","CENTRAL REGION","CENTRAL SUBZONE","Office","8 marina boulevard , singapore","Non-Ascendas Building","99-year Leasehold",5000,465,10.5,103.8517885,1.2810763
"821","D01","CENTRAL REGION","RAFFLES PLACE","Office","50 raffles place , singapore","Non-Ascendas Building",NA,891,83,11.5,103.8519923,1.2847487
"822","D01","CENTRAL REGION","RAFFLES PLACE","Office","6 raffles quay , singapore","Non-Ascendas Building",NA,3767,350,7,103.8514035,1.2817911
"823","D02","CENTRAL REGION","ANSON","Office","19 keppel road , singapore","Non-Ascendas Building",NA,650,60,5.5,103.8423879,1.2729624
"824","D02","CENTRAL REGION","TANJONG PAGAR","Office","3 anson road , singapore","Non-Ascendas Building","99-year Leasehold",1087,101,7.36,103.8463986,1.2753676
"825","D02","CENTRAL REGION","CHINATOWN","Office","cantonment road , singapore","Non-Ascendas Building",NA,2500,232,6.4,103.8408356,1.2758279
"826","D01","CENTRAL REGION","RAFFLES PLACE","Office","robinson road , singapore","Non-Ascendas Building",NA,1249,116,6.5,103.8494131,1.2801343
"827","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,180,17,16.67,103.8513447,1.2844837
"828","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,167,16,19.46,103.8513447,1.2844837
"829","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles quay , singapore","Non-Ascendas Building",NA,130,12,12.69,103.8511994,1.2810107
"830","D02","CENTRAL REGION","CHINATOWN","Office","tanjong pagar , singapore","Non-Ascendas Building",NA,1240,115,6.8,103.8404472,1.2780299
"831","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,200,19,20,103.8513447,1.2844837
"832","D01","CENTRAL REGION","BOAT QUAY","Office","circular road , singapore","Non-Ascendas Building",NA,495,46,4.8,103.8490248,1.2866625
"833","D02","CENTRAL REGION","ANSON","Office","72 anson road , singapore","Non-Ascendas Building","99-year Leasehold",3000,279,6.5,103.8444453,1.2739669
"834","D01","CENTRAL REGION","RAFFLES PLACE","Office","137 market street , singapore","Non-Ascendas Building","Unknown Tenure",2140,199,8,103.850475,1.2822166
"835","D01","CENTRAL REGION","RAFFLES PLACE","Office","80 raffles place , singapore","Non-Ascendas Building","99-year Leasehold",1900,177,9,103.8507043,1.2854707
"836","D02","CENTRAL REGION","TANJONG PAGAR","Office","3 anson road , singapore","Non-Ascendas Building","99-year Leasehold",3400,316,8,103.8463986,1.2753676
"837","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,1740,162,8,103.8513447,1.2844837
"838","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,1900,177,7.2,103.8513447,1.2844837
"839","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,2300,214,8,103.8513447,1.2844837
"840","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,2500,232,11,103.8513447,1.2844837
"841","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,1400,130,9,103.8513447,1.2844837
"842","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,950,88,9,103.8513447,1.2844837
"843","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,3000,279,8,103.8513447,1.2844837
"844","D06","CENTRAL REGION","CLARKE QUAY","Office","clarke quay , singapore","Non-Ascendas Building",NA,940,87,9,103.8464742,1.2906024
"845","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,2200,204,6,103.8513447,1.2844837
"846","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building","999-year Leasehold",1600,149,11,103.8513447,1.2844837
"847","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,2900,269,9,103.8513447,1.2844837
"848","D02","CENTRAL REGION","CHINATOWN","Office","tanjong pagar , singapore","Non-Ascendas Building","Freehold",5000,465,6,103.8404472,1.2780299
"849","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building","99-year Leasehold",4000,372,9,103.8513447,1.2844837
"850","D02","CENTRAL REGION","CHINATOWN","Office","tanjong pagar , singapore","Non-Ascendas Building",NA,4400,409,8,103.8404472,1.2780299
"851","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,2200,204,9.5,103.8513447,1.2844837
"852","D01","CENTRAL REGION","RAFFLES PLACE","Office","raffles place , singapore","Non-Ascendas Building",NA,1800,167,10.5,103.8513447,1.2844837
