District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D22,WEST REGION,TOH TUCK,Factory / Workshop,71 toh guan road east,Non-Ascendas Building,Unknown Tenure ,1087,101,1.84
D22,WEST REGION,TOH TUCK,Factory / Workshop,48 toh guan road east,Non-Ascendas Building,60-year Leasehold ,2809,261,1.78
D22,WEST REGION,TOH TUCK,Factory / Workshop,71 toh guan road east,Non-Ascendas Building,Unknown Tenure ,1636,152,2.01
D26,NORTH-EAST REGION,TAGORE,Light Industrial,421 tagore industrial avenue,Non-Ascendas Building,Freehold ,2184,203,1.28
D22,WEST REGION,TOH TUCK,Factory / Workshop,21 toh guan road east,Non-Ascendas Building,Unknown Tenure ,1809,168,1.32
D13,CENTRAL REGION,JOO SENG,Light Industrial,126 joo seng road,Non-Ascendas Building,Freehold ,950,88,1.89
D22,WEST REGION,TOH TUCK,Factory / Workshop,48 toh guan road east,Non-Ascendas Building,60-year Leasehold ,700,65,2.27
D08,CENTRAL REGION,LITTLE INDIA,Office,jalan besar,Non-Ascendas Building,,800,74,2.86
D22,WEST REGION,JURONG RIVER,Factory / Workshop,penjuru road,Non-Ascendas Building,,12000,1115,1.24
D22,WEST REGION,JURONG RIVER,Light Industrial,penjuru road,Non-Ascendas Building,,8000,743,1.2
D02,CENTRAL REGION,CHINATOWN,Office,tras street,Non-Ascendas Building,,5000,465,5
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,2237,208,1.72
D07,CENTRAL REGION,BRAS BASAH,Office,51 bras basah road,Non-Ascendas Building,Unknown Tenure ,904,84,8.35
D03,CENTRAL REGION,ONE NORTH,Light Industrial,1 commonwealth drive,Non-Ascendas Building,30-year Leasehold ,1421,132,2.81
D01,CENTRAL REGION,CHINA SQUARE,Office,133 new bridge road,Non-Ascendas Building,99-year Leasehold ,1257,117,4.77
D01,CENTRAL REGION,RAFFLES PLACE,Office,9 raffles place,Non-Ascendas Building,Unknown Tenure ,6738,626,9.63
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,63 ubi avenue 1,Non-Ascendas Building,,1350,125,2.44
D01,CENTRAL REGION,CENTRAL SUBZONE,Office,8 marina view,Non-Ascendas Building,99-year Leasehold ,180,17,17.78
D14,EAST REGION,KAKI BUKIT,Light Industrial,5 kaki bukit road 1,Non-Ascendas Building,,3509,326,2.71
D06,CENTRAL REGION,CITY HALL,Office,1 coleman street,Non-Ascendas Building,999-year Leasehold ,2853,265,5.96
D07,CENTRAL REGION,BENCOOLEN,Office,175 bencoolen street,Non-Ascendas Building,99-year Leasehold ,549,51,6.38
D09,CENTRAL REGION,BOULEVARD,Office,350 orchard road,Non-Ascendas Building,Unknown Tenure ,130,12,16.15
D01,CENTRAL REGION,MARINA CENTRE,Office,9 temasek boulevard,Non-Ascendas Building,,210,20,16.67
D14,EAST REGION,KAKI BUKIT,Factory / Workshop,1 kaki bukit road 1,Non-Ascendas Building,Unknown Tenure ,2142,199,2.1
D09,CENTRAL REGION,BOULEVARD,Office,9 scotts road,Non-Ascendas Building,99-year Leasehold ,496,46,14.52
D01,CENTRAL REGION,CECIL,Office,105 cecil street,Non-Ascendas Building,Freehold ,100,9,17
D10,CENTRAL REGION,TANGLIN,Office,1 tanglin road,Non-Ascendas Building,30-year Leasehold ,301,28,7.48
D09,CENTRAL REGION,BOULEVARD,Office,302 orchard road,Non-Ascendas Building,Freehold ,1300,121,9
D01,CENTRAL REGION,CECIL,Office,105 cecil street,Non-Ascendas Building,Freehold ,165,15,15.15
D25,NORTH REGION,WOODLANDS EAST,Light Industrial,11 woodlands close,Non-Ascendas Building,60-year Leasehold ,1927,179,1.76
D26,NORTH-EAST REGION,TAGORE,Light Industrial,421 tagore industrial avenue,Non-Ascendas Building,Freehold ,2745,255,1.82
D13,CENTRAL REGION,JOO SENG,Light Industrial,85 playfair road,Non-Ascendas Building,Unknown Tenure ,2390,222,2
D25,NORTH REGION,WOODLANDS EAST,Light Industrial,21 woodlands close singapore,Non-Ascendas Building,60-year Leasehold ,190,18,4.21
D25,NORTH REGION,WOODLANDS EAST,Light Industrial,21 woodlands close singapore,Non-Ascendas Building,60-year Leasehold ,130,12,4.23
D02,CENTRAL REGION,TANJONG PAGAR,Office,10 anson road,Non-Ascendas Building,99-year Leasehold ,1700,158,5
D03,CENTRAL REGION,ALEXANDRA HILL,Office,10 jalan kilang,Non-Ascendas Building,Unknown Tenure ,1088,101,3.86
D06,CENTRAL REGION,BRAS BASAH,Office,36 armenian street,Non-Ascendas Building,Unknown Tenure ,1430,133,7.69
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,10 jalan kilang,Non-Ascendas Building,Unknown Tenure ,525,49,3.81
D03,CENTRAL REGION,ALEXANDRA HILL,Office,315 alexandra road,Non-Ascendas Building,Unknown Tenure ,3060,284,4.08
D03,CENTRAL REGION,ALEXANDRA HILL,Office,305 alexandra road,Non-Ascendas Building,Unknown Tenure ,749,70,4.14
D20,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,7030 ang mo kio avenue 5,Non-Ascendas Building,60-year Leasehold ,1456,135,1.72
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,33 ubi avenue 3,Non-Ascendas Building,60-year Leasehold ,350,33,2.86
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,62 ubi road 1,Non-Ascendas Building,60-year Leasehold ,1916,178,1.3
D20,CENTRAL REGION,MARYMOUNT,Light Industrial,40 jalan pemimpin,Non-Ascendas Building,Unknown Tenure ,6700,622,1.57
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,8 ubi road 2,Non-Ascendas Building,60-year Leasehold ,100,9,4.88
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,industrial park 2,Non-Ascendas Building,,6225,578,1.25
D17,EAST REGION,LOYANG WEST,Factory / Workshop,56 loyang way,Non-Ascendas Building,30-year Leasehold ,4252,395,1.18
D13,CENTRAL REGION,JOO SENG,Light Industrial,76 playfair road,Non-Ascendas Building,,320,30,4.84
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,10 ubi crescent,Non-Ascendas Building,Unknown Tenure ,1066,99,2.35
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,71 ubi crescent,Non-Ascendas Building,,2556,237,2.09
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,33 ubi avenue 3,Non-Ascendas Building,60-year Leasehold ,1582,147,2.21
D13,CENTRAL REGION,JOO SENG,Light Industrial,50 playfair rd,Non-Ascendas Building,,235,22,4.47
D13,CENTRAL REGION,JOO SENG,Office,50 playfair rd,Non-Ascendas Building,,235,22,4.46
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,63 ubi avenue 1,Non-Ascendas Building,,1485,138,2.36
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,63 ubi avenue 1,Non-Ascendas Building,,1152,107,2.43
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,63 ubi avenue 1,Non-Ascendas Building,,2637,245,2.24
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,63 ubi avenue 1,Non-Ascendas Building,,1152,107,2.17
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,10 ubi crescent,Non-Ascendas Building,Unknown Tenure ,2357,219,2.08
D19,CENTRAL REGION,JOO SENG,Light Industrial,73 upper paya lebar road,Non-Ascendas Building,,313,29,5.72
D19,CENTRAL REGION,JOO SENG,Office,73 upper paya lebar road,Non-Ascendas Building,,288,27,5.28
D13,CENTRAL REGION,JOO SENG,Light Industrial,76 playfair road,Non-Ascendas Building,,2432,226,1.81
D19,CENTRAL REGION,JOO SENG,Light Industrial,73 upper paya lebar road,Non-Ascendas Building,,265,25,5.47
D13,CENTRAL REGION,KALLANG WAY,Factory / Workshop,80 genting lane,Non-Ascendas Building,Unknown Tenure ,1711,159,1.6
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,61 ubi avenue 2,Non-Ascendas Building,,3171,295,3.15
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,123 genting lane,Non-Ascendas Building,Unknown Tenure ,2174,202,1.6
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,123 genting lane,Non-Ascendas Building,Unknown Tenure ,3078,286,1.6
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,123 genting lane,Non-Ascendas Building,Unknown Tenure ,1428,133,1.6
D19,NORTH-EAST REGION,LORONG CHUAN,Light Industrial,151 lorong chuan,Non-Ascendas Building,Unknown Tenure ,6071,564,3.8
D19,NORTH-EAST REGION,LORONG CHUAN,Light Industrial,151 lorong chuan,Non-Ascendas Building,Unknown Tenure ,2939,273,3.7
D20,CENTRAL REGION,MARYMOUNT,Light Industrial,39a jalan pemimpin,Non-Ascendas Building,Unknown Tenure ,1400,130,1.82
D13,CENTRAL REGION,JOO SENG,Light Industrial,50 playfair rd,Non-Ascendas Building,,1227,114,2
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,69 ubi crescent,Non-Ascendas Building,,1625,151,2.09
D13,CENTRAL REGION,JOO SENG,Light Industrial,11 irving place,Non-Ascendas Building,Freehold ,1787,166,2.18
D13,CENTRAL REGION,JOO SENG,Light Industrial,50 playfair rd,Non-Ascendas Building,,1970,183,1.8
D13,CENTRAL REGION,JOO SENG,Light Industrial,11 irving place,Non-Ascendas Building,Freehold ,2594,241,2.31
D14,CENTRAL REGION,ALJUNIED,Light Industrial,705 sims drive,Non-Ascendas Building,Unknown Tenure ,2950,274,2.47
D13,CENTRAL REGION,JOO SENG,Light Industrial,76 playfair road,Non-Ascendas Building,,150,14,5.33
D13,CENTRAL REGION,JOO SENG,Light Industrial,6 harper road,Non-Ascendas Building,,1947,181,2.2
D13,CENTRAL REGION,JOO SENG,Light Industrial,6 harper road,Non-Ascendas Building,,1981,184,2.2
D05,CENTRAL REGION,PASIR PANJANG 2,Light Industrial,438a alexandra road,Non-Ascendas Building,,5694,529,4.04
D14,EAST REGION,KAKI BUKIT,Factory / Workshop,1 kaki bukit road 1,Non-Ascendas Building,Unknown Tenure ,2174,202,2.2
D09,CENTRAL REGION,BOULEVARD,Office,302 orchard road,Non-Ascendas Building,Freehold ,6850,636,8.47
D09,CENTRAL REGION,BOULEVARD,Office,302 orchard road,Non-Ascendas Building,Freehold ,1500,139,8.5
D01,CENTRAL REGION,CECIL,Office,133 cecil street,Non-Ascendas Building,,1200,111,6.29
D01,CENTRAL REGION,CECIL,Office,133 cecil street,Non-Ascendas Building,,1347,125,6.5
D01,CENTRAL REGION,CECIL,Office,138 cecil street,Non-Ascendas Building,,1428,133,5.8
D01,CENTRAL REGION,CECIL,Office,138 cecil street,Non-Ascendas Building,,1200,111,5.75
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,29 tai seng street,Non-Ascendas Building,,6200,576,2.35
D01,CENTRAL REGION,CECIL,Office,101 cecil street,Non-Ascendas Building,999-year Leasehold ,1227,114,5.79
D01,CENTRAL REGION,CECIL,Office,101 cecil street,Non-Ascendas Building,999-year Leasehold ,463,43,5.98
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,29 tai seng street,Non-Ascendas Building,,3770,350,2.5
D01,CENTRAL REGION,RAFFLES PLACE,Office,14 robinson road,Non-Ascendas Building,999-year Leasehold ,1400,130,5.79
D03,CENTRAL REGION,PEARL'S HILL,Office,171 chin swee road,Non-Ascendas Building,99-year Leasehold ,635,59,6.46
D13,CENTRAL REGION,JOO SENG,Light Industrial,19 burn road,Non-Ascendas Building,,656,61,2.59
D03,CENTRAL REGION,PEARL'S HILL,Office,171 chin swee road,Non-Ascendas Building,99-year Leasehold ,1389,129,6.48
D03,CENTRAL REGION,PEARL'S HILL,Office,171 chin swee road,Non-Ascendas Building,99-year Leasehold ,1959,182,5.49
D14,CENTRAL REGION,ALJUNIED,Light Industrial,101 lorong 23 geylang,Non-Ascendas Building,Unknown Tenure ,3714,345,2.4
D14,CENTRAL REGION,ALJUNIED,Light Industrial,101 lorong 23 geylang,Non-Ascendas Building,Unknown Tenure ,1572,146,2.4
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,69 ubi crescent,Non-Ascendas Building,,1044,97,2.1
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,240 macpherson road,Non-Ascendas Building,,2839,264,1.88
D01,CENTRAL REGION,MARINA CENTRE,Office,1 temasek avenue,Non-Ascendas Building,,1249,116,8.81
D12,CENTRAL REGION,KALLANG BAHRU,Light Industrial,95 kallang avenue,Non-Ascendas Building,,2000,186,1.75
D25,NORTH REGION,SENOKO SOUTH,Factory / Workshop,2 woodlands sector 1,Non-Ascendas Building,Unknown Tenure ,13500,1254,1.41
D06,CENTRAL REGION,CITY HALL,Office,1 north bridge road,Non-Ascendas Building,,1550,144,7.3
D06,CENTRAL REGION,CITY HALL,Office,1 north bridge road,Non-Ascendas Building,,861,80,7.3
D14,EAST REGION,KAKI BUKIT,Warehouse,43 kaki bukit road 2,Non-Ascendas Building,,9171,852,1.74
D12,CENTRAL REGION,KALLANG BAHRU,Light Industrial,20 kallang avenue,Non-Ascendas Building,Unknown Tenure ,4840,450,3.99
D08,CENTRAL REGION,LAVENDER,Office,380 jalan besar,Non-Ascendas Building,Freehold ,3835,356,5.8
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,1276,119,5.5
D12,CENTRAL REGION,KALLANG BAHRU,Office,2 kallang avenue,Non-Ascendas Building,99-year Leasehold ,1324,123,5.5
D12,CENTRAL REGION,KALLANG BAHRU,Office,114 lavender street,Non-Ascendas Building,99-year Leasehold ,4413,410,4.8
D22,WEST REGION,LAKESIDE,Office,jurong town hall road,Non-Ascendas Building,,4500,418,5
D12,CENTRAL REGION,BENDEMEER,Light Industrial,bendemeer,Non-Ascendas Building,,4200,390,3.5
D12,CENTRAL REGION,BALESTIER,Office,balestier,Non-Ascendas Building,,5400,502,5
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,4474,416,2.1
D09,CENTRAL REGION,INSTITUTION HILL,Office,kim yam road,Non-Ascendas Building,,1847,172,5.2
D12,CENTRAL REGION,KALLANG BAHRU,Light Industrial,kallang place,Non-Ascendas Building,,4760,442,3.9
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,2230,207,2
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,8345,775,1.5
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,2200,204,6.14
D16,EAST REGION,XILIN,Business / Science Park,15a changi business park central 1,Ascendas Building,Unknown Tenure ,12831,1192,3.97
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,1304,121,5.21
D01,CENTRAL REGION,RAFFLES PLACE,Office,1 raffles place,Non-Ascendas Building,,291,27,9.97
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,12 tai seng link,Non-Ascendas Building,30-year Leasehold ,2655,247,3.77
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,12 tai seng link,Non-Ascendas Building,30-year Leasehold ,8525,792,3.87
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,12 tai seng link,Non-Ascendas Building,30-year Leasehold ,1937,180,3.77
D01,CENTRAL REGION,RAFFLES PLACE,Office,1 raffles place,Non-Ascendas Building,,4876,453,10.05
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,3859,359,5.7
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,3329,309,6.01
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,600,56,5.17
D09,CENTRAL REGION,INSTITUTION HILL,Office,58 kim yam road,Non-Ascendas Building,60-year Leasehold ,8162,758,4.8
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 bukit batok street 23,Non-Ascendas Building,,8346,775,1.39
D19,NORTH-EAST REGION,TAI SENG,Factory / Workshop,12 tai seng link,Non-Ascendas Building,30-year Leasehold ,7410,688,3.51
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,1847,172,5.36
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,910,85,5.38
D09,CENTRAL REGION,INSTITUTION HILL,Office,46 kim yam road,Non-Ascendas Building,60-year Leasehold ,1173,109,5.29
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,26136,2428,1.4
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,17147,1593,1.4
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,2 2 bukit batok street 23,Non-Ascendas Building,Freehold ,2237,208,2.24
D01,CENTRAL REGION,CECIL,Office,3 shenton way,Non-Ascendas Building,99-year Leasehold ,392,36,6.38
D03,CENTRAL REGION,ONE NORTH,Light Industrial,1 commonwealth drive,Non-Ascendas Building,30-year Leasehold ,700,65,4.29
D14,EAST REGION,KAKI BUKIT,Factory / Workshop,kaki bukit crescent,Non-Ascendas Building,,15500,1440,1.61
D19,NORTH-EAST REGION,DEFU INDUSTRIAL PARK,Factory / Workshop,3 defu lane 1,Non-Ascendas Building,,1500,139,2
D19,NORTH-EAST REGION,DEFU INDUSTRIAL PARK,Factory / Workshop,3 defu lane 1,Non-Ascendas Building,,20000,1858,1.2
D25,NORTH REGION,RESERVOIR VIEW,Factory / Workshop,7 sungei kadut street 6,Non-Ascendas Building,Unknown Tenure ,16200,1505,1.55
D17,EAST REGION,LOYANG WEST,Factory / Workshop,56 loyang way,Non-Ascendas Building,30-year Leasehold ,10710,995,1.4
D25,NORTH REGION,PANG SUA,Factory / Workshop,00 sungei kadut loop,Non-Ascendas Building,Unknown Tenure ,30000,2787,1.2
D19,NORTH-EAST REGION,DEFU INDUSTRIAL PARK,Factory / Workshop,3 defu lane 1,Non-Ascendas Building,,20000,1858,1
D22,WEST REGION,JURONG RIVER,Factory / Workshop,jurong industrial estate,Non-Ascendas Building,,8000,743,1.4
D19,NORTH-EAST REGION,TRAFALGAR,Factory / Workshop,hougang avenue 4,Non-Ascendas Building,99-year Leasehold ,32500,3019,0.89
D05,CENTRAL REGION,PASIR PANJANG 2,Office,100g pasir panjang road,Non-Ascendas Building,Unknown Tenure ,1700,158,2.5
D01,CENTRAL REGION,RAFFLES PLACE,Office,20 cecil street,Non-Ascendas Building,99-year Leasehold ,1344,125,7.12
D01,CENTRAL REGION,RAFFLES PLACE,Office,20 cecil street,Non-Ascendas Building,99-year Leasehold ,2141,199,6.5
D01,CENTRAL REGION,RAFFLES PLACE,Office,20 cecil street,Non-Ascendas Building,99-year Leasehold ,2658,247,9
D25,NORTH REGION,WOODLANDS WEST,Office,riverside road,Non-Ascendas Building,,100,9,4.2
D25,NORTH REGION,WOODLANDS WEST,Factory / Workshop,riverside road,Non-Ascendas Building,,7900,734,1.65
D01,CENTRAL REGION,RAFFLES PLACE,Office,raffles place,Non-Ascendas Building,99-year Leasehold ,2200,204,5.5
D14,CENTRAL REGION,KALLANG WAY,Light Industrial,627a aljunied road,Non-Ascendas Building,Freehold ,958,89,2.82
D14,CENTRAL REGION,ALJUNIED,Light Industrial,101 lorong 23 geylang,Non-Ascendas Building,Unknown Tenure ,2000,186,2.9
D26,NORTH-EAST REGION,TAGORE,Warehouse,tagore drive,Non-Ascendas Building,Freehold ,9337,867,1.82
D22,WEST REGION,TUAS VIEW,Factory / Workshop,1 tuas south street 1,Non-Ascendas Building,,100000,9290,0.65
D22,WEST REGION,TUAS VIEW,Warehouse,1 tuas south street 1,Non-Ascendas Building,,70000,6503,0.8
D22,WEST REGION,TUAS VIEW,Factory / Workshop,1 tuas south street 1,Non-Ascendas Building,,20000,1858,0.8
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south avenue 3,Non-Ascendas Building,30-year Leasehold ,4316,401,1.1
D22,WEST REGION,PIONEER SECTOR,Factory / Workshop,pioneer sector,Non-Ascendas Building,,8000,743,1
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south avenue 3,Non-Ascendas Building,30-year Leasehold ,45317,4210,1
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south avenue 3,Non-Ascendas Building,30-year Leasehold ,2626,244,1.2
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south avenue 3,Non-Ascendas Building,30-year Leasehold ,33218,3086,1
D22,WEST REGION,PIONEER SECTOR,Factory / Workshop,pioneer sector,Non-Ascendas Building,Unknown Tenure ,8000,743,1
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south ,Non-Ascendas Building,,18500,1719,1.95
D22,WEST REGION,TOH TUCK,Light Industrial,18 boon lay way,Non-Ascendas Building,Unknown Tenure ,1463,136,1.98
D20,NORTH-EAST REGION,YIO CHU KANG,Light Industrial,3 ang mo kio street 62,Non-Ascendas Building,60-year Leasehold ,2152,200,2.79
D20,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,7030 ang mo kio avenue 5,Non-Ascendas Building,60-year Leasehold ,1947,181,1.85
D20,NORTH-EAST REGION,YIO CHU KANG,Light Industrial,3 ang mo kio street 62,Non-Ascendas Building,60-year Leasehold ,2153,200,3.02
D19,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,50 serangoon north avenue 4,Non-Ascendas Building,,1098,102,2.27
D20,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,7030 ang mo kio avenue 5,Non-Ascendas Building,60-year Leasehold ,692,64,2.17
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,54 genting lane,Non-Ascendas Building,,130,12,5.77
D20,CENTRAL REGION,MARYMOUNT,Light Industrial,40 jalan pemimpin,Non-Ascendas Building,Unknown Tenure ,6700,622,1.6
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,ang mo kio industrial park 2,Non-Ascendas Building,,176,16,4.2
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,ang mo kio induustrial park 2,Non-Ascendas Building,,244,23,4.02
D26,NORTH-EAST REGION,TAGORE,Office,tagore lane,Non-Ascendas Building,,130,12,5.27
D13,CENTRAL REGION,KALLANG WAY,Office,genting lane,Non-Ascendas Building,,4000,372,1.7
D14,CENTRAL REGION,GEYLANG EAST,Light Industrial,eunos avenue 7,Non-Ascendas Building,,412,38,3.6
D14,CENTRAL REGION,GEYLANG EAST,Office,eunos avenue 7,Non-Ascendas Building,,322,30,3.8
D20,NORTH-EAST REGION,SERANGOON NORTH IND ESTATE,Light Industrial,ang mo kio industrial park 2,Non-Ascendas Building,,7066,656,1.35
D26,NORTH-EAST REGION,TAGORE,Business / Science Park,tagore lane,Non-Ascendas Building,,273,25,4.95
D07,CENTRAL REGION,VICTORIA,Office,waterloo street,Non-Ascendas Building,,120,11,7.92
D02,CENTRAL REGION,ANSON,Office,163 tras street,Non-Ascendas Building,,5000,465,3.8
D02,CENTRAL REGION,ANSON,Office,171 tras st,Non-Ascendas Building,Freehold ,5000,465,3.8
D01,CENTRAL REGION,CLARKE QUAY,Office,6 eu tong sen street,Non-Ascendas Building,99-year Leasehold ,1668,155,9.2
D02,CENTRAL REGION,ANSON,Office,80 anson road,Non-Ascendas Building,,1394,130,7.8
D22,WEST REGION,WENYA,Factory / Workshop,8 bulim avenue,Non-Ascendas Building,60-year Leasehold ,10000,929,2.9
D01,CENTRAL REGION,RAFFLES PLACE,Office,11 collyer quay,Non-Ascendas Building,99-year Leasehold ,2121,197,6.8
D01,CENTRAL REGION,CLARKE QUAY,Office,1 magazine road,Non-Ascendas Building,Unknown Tenure ,1249,116,6.8
D01,CENTRAL REGION,CECIL,Office,36 robinson road,Non-Ascendas Building,,7307,679,7.5
D02,CENTRAL REGION,TANJONG PAGAR,Office,79 anson road,Non-Ascendas Building,Freehold ,11087,1030,7.5
D15,CENTRAL REGION,MOUNTBATTEN,Office,354 tanjong katong road,Non-Ascendas Building,,1323,123,2.72
D22,WEST REGION,TUAS VIEW EXTENSION,Factory / Workshop,tuas south avenue 3,Non-Ascendas Building,30-year Leasehold ,33788,3139,0.8
D01,CENTRAL REGION,CHINA SQUARE,Office,pekin street,Non-Ascendas Building,,947,88,6.8
D25,NORTH REGION,RESERVOIR VIEW,Factory / Workshop,7 sungei kadut street 6,Non-Ascendas Building,Unknown Tenure ,10000,929,1.3
D13,CENTRAL REGION,JOO SENG,Office,3 upper aljunied link,Non-Ascendas Building,Freehold ,2110,196,1.5
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,16 tannery lane,Non-Ascendas Building,,3020,281,2.65
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,83 genting lane,Non-Ascendas Building,,1356,126,2.43
D01,CENTRAL REGION,RAFFLES PLACE,Office,80 raffles place,Non-Ascendas Building,Unknown Tenure ,5770,536,9.79
D01,CENTRAL REGION,MARINA CENTRE,Office,3 temasek avenue,Non-Ascendas Building,,6400,595,10.5
D02,CENTRAL REGION,TANJONG PAGAR,Office,70 shenton way,Non-Ascendas Building,99-year Leasehold ,1095,102,5.52
D01,CENTRAL REGION,CENTRAL SUBZONE,Office,12 marina boulevard,Non-Ascendas Building,99-year Leasehold ,4554,423,12
D01,CENTRAL REGION,CENTRAL SUBZONE,Office,12 marina view,Non-Ascendas Building,99-year Leasehold ,12400,1152,11
D01,CENTRAL REGION,CENTRAL SUBZONE,Office,12 marina view,Non-Ascendas Building,99-year Leasehold ,4224,392,12
D22,WEST REGION,JURONG GATEWAY,Office,venture drive,Non-Ascendas Building,99-year Leasehold ,3143,292,5.8
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,bukit batok street 23,Non-Ascendas Building,,7125,662,1.65
D23,WEST REGION,BUKIT BATOK SOUTH,Light Industrial,bukit batok st 23,Non-Ascendas Building,,2260,210,2.8
D05,CENTRAL REGION,PASIR PANJANG 2,Light Industrial,102e pasir panjang road,Non-Ascendas Building,,2443,227,2.3
D26,NORTH-EAST REGION,TAGORE,Light Industrial,9 tagore lane,Non-Ascendas Building,Freehold ,4800,446,1.66
D05,CENTRAL REGION,PASIR PANJANG 2,Light Industrial,102e pasir panjang road,Non-Ascendas Building,,2390,222,2.4
D05,WEST REGION,TOH TUCK,Factory / Workshop,1 clementi loop,Non-Ascendas Building,Unknown Tenure ,1507,140,1.59
D16,EAST REGION,KEMBANGAN,Light Industrial,514 chai chee lane,Non-Ascendas Building,Unknown Tenure ,5197,483,1.4
D13,CENTRAL REGION,KALLANG WAY,Light Industrial,50 genting lane,Non-Ascendas Building,,3703,344,2
D26,NORTH-EAST REGION,TAGORE,Light Industrial,23 tagore lane,Non-Ascendas Building,Unknown Tenure ,1561,145,1.79
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,1 international business park,Non-Ascendas Building,Unknown Tenure ,2798,260,4.1
D03,CENTRAL REGION,BUKIT MERAH,Light Industrial,1003 bukit merah central,Non-Ascendas Building,30-year Leasehold ,700,65,3
D22,WEST REGION,JURONG GATEWAY,Office,2 venture drive,Non-Ascendas Building,99-year Leasehold ,1000,93,5
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,2 international business park,Non-Ascendas Building,Unknown Tenure ,3638,338,4.1
