District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D14,EAST REGION,KAKI BUKIT,Factory / Workshop,1 kaki bukit view,Ascendas Building,Freehold ,7037,654,3.2
D14,EAST REGION,KAKI BUKIT,Light Industrial,31 kaki bukit road 3,Ascendas Building,Freehold ,12749,1184,3.2
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,61 science park road,Ascendas Building,Unknown Tenure ,1226,114,4.2
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,10 science park road,Ascendas Building,Unknown Tenure ,767,71,4
D18,EAST REGION,TAMPINES WEST,Light Industrial,11 tampines street 92,Ascendas Building,,19881,1847,1.8
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,,980,91,4.5
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,31 ubi road 1,Ascendas Building,,5015,466,2.8
D16,EAST REGION,XILIN,Business / Science Park,1 changi business park crescent,Ascendas Building,30-year Leasehold ,1783,166,4.2
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,4204,391,3.95
D22,WEST REGION,TAMAN JURONG,Light Industrial,2 corporation road,Ascendas Building,,3755,349,2.5
D20,NORTH-EAST REGION,YIO CHU KANG,Light Industrial,10 ang mo kio street 65,Ascendas Building,Unknown Tenure ,2640,245,3.2
D22,WEST REGION,PENJURU CRESCENT,Warehouse,40 penjuru lane,Ascendas Building,,99998,9290,1.3
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,29 international business park,Ascendas Building,,1281,119,4.2
D16,EAST REGION,XILIN,Business / Science Park,1 changi business park avenue 1,Ascendas Building,,2881,268,4.5
D14,EAST REGION,KAKI BUKIT,Light Industrial,31 kaki bukit road 3,Ascendas Building,Freehold ,2002,186,3.5
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,,3042,283,4.5
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,10201,948,3.95
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,31 international business park,Ascendas Building,,861,80,4.3
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,,3072,285,4.5
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,21 media circle,Ascendas Building,,1492,139,4.7
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,21 biopolis,Ascendas Building,,14925,1387,4.95
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,1 science park road,Ascendas Building,Unknown Tenure ,1320,123,4.2
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,50 science park road,Ascendas Building,30-year Leasehold ,2838,264,4.5
D19,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,53 serangoon north avenue 4,Ascendas Building,99-year Leasehold ,14508,1348,1.8
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,Unknown Tenure ,4018,373,4.5
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,4646,432,3.95
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,21 biopolis road,Ascendas Building,,4221,392,4.95
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,6895,641,3.95
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,Unknown Tenure ,1060,98,4.5
D22,WEST REGION,INTERNATIONAL BUSINESS PARK,Business / Science Park,3a international business park,Ascendas Building,60-year Leasehold ,1952,181,3.95
D05,CENTRAL REGION,PASIR PANJANG 1,Business / Science Park,20 science park road,Ascendas Building,Unknown Tenure ,2001,186,4.5
D14,CENTRAL REGION,KAMPONG UBI,Light Industrial,150 ubi avenue 4,Ascendas Building,Unknown Tenure ,4281,398,1.9
